IT1838A;VENETO
IT1880A;VENETO
IT1833A;VENETO
IT0963A;VENETO
IT1936A;VENETO
IT1215A;VENETO
IT1453A;VENETO
IT1594A;VENETO
IT1172A;VENETO
IT1619A;VENETO
IT1790A;VENETO
IT0663A;VENETO
IT1870A;VENETO
IT1222A;VENETO
IT1336A;VENETO
IT1596A;VENETO
IT1177A;VENETO
IT1065A;VENETO
IT1590A;VENETO
IT1340A;VENETO
IT1871A;VENETO
IT1848A;VENETO
IT1791A;VENETO
IT1213A;VENETO
IT2243A;VENETO
IT2231A;VENETO
IT1159A;EMILIA_ROMAGNA
IT1451A;EMILIA_ROMAGNA
IT2073A;EMILIA_ROMAGNA
IT1179A;EMILIA_ROMAGNA
IT1919A;EMILIA_ROMAGNA
IT1771A;EMILIA_ROMAGNA
IT1910A;EMILIA_ROMAGNA
IT1152A;EMILIA_ROMAGNA
IT1924A;EMILIA_ROMAGNA
IT1914A;EMILIA_ROMAGNA
IT0187A;EMILIA_ROMAGNA
IT1105A;EMILIA_ROMAGNA
IT1920A;EMILIA_ROMAGNA
IT1044A;EMILIA_ROMAGNA
IT1921A;EMILIA_ROMAGNA
IT1918A;EMILIA_ROMAGNA
IT2156A;EMILIA_ROMAGNA
IT2209A;EMILIA_ROMAGNA
IT1593A;TOSCANA
IT2032A;TOSCANA
IT1571A;TOSCANA
IT1557A;TOSCANA
IT1644A;TOSCANA
IT1187A;TOSCANA
IT2239A;TOSCANA
IT1149A;TOSCANA
IT1409A;TOSCANA
IT1553A;TOSCANA
IT0063A;TOSCANA
IT1110A;TOSCANA
IT0945A;TOSCANA
IT0950A;TOSCANA
IT1186A;TOSCANA
IT1654A;TOSCANA
IT1001A;TOSCANA
IT0832A;TOSCANA
IT1681A;TOSCANA
IT1551A;TOSCANA
IT1819A;TOSCANA
IT1071A;TOSCANA
IT0860A;TOSCANA
IT0861A;TOSCANA
IT0862A;TOSCANA
IT0883A;TOSCANA
IT1942A;TOSCANA
IT2153A;TOSCANA
IT2154A;TOSCANA
IT2184A;TOSCANA
IT2183A;TOSCANA
IT2240A;TOSCANA
IT2241A;TOSCANA
IT1592A;TOSCANA
IT2105A;UMBRIA
IT2100A;UMBRIA
IT1180A;UMBRIA
IT2004A;UMBRIA
IT1182A;UMBRIA
IT1901A;UMBRIA
IT1365A;UMBRIA
IT1011A;UMBRIA
IT1902A;UMBRIA
IT1728A;UMBRIA
IT1860A;UMBRIA
IT1900A;UMBRIA
IT2134A;UMBRIA
IT2109A;UMBRIA
IT2113A;UMBRIA
IT2012A;LAZIO
IT2023A;LAZIO
IT2172A;LAZIO
IT1836A;LAZIO
IT0952A;LAZIO
IT0953A;LAZIO
IT1184A;LAZIO
IT0956A;LAZIO
IT1200A;LAZIO
IT0825A;LAZIO
IT0989A;LAZIO
IT0991A;LAZIO
IT0828A;LAZIO
IT1837A;LAZIO
IT0992A;LAZIO
IT1176A;LAZIO
IT1835A;LAZIO
IT1183A;LAZIO
IT1906A;LAZIO
IT1834A;LAZIO
IT1841A;LAZIO
IT0863A;LAZIO
IT0865A;LAZIO
IT0867A;LAZIO
IT0869A;LAZIO
IT0870A;LAZIO
IT0871A;LAZIO
IT0872A;LAZIO
IT0884A;LAZIO
IT0885A;LAZIO
IT0887A;LAZIO
IT0888A;LAZIO
IT0889A;LAZIO
IT2171A;LAZIO
IT2173A;LAZIO
IT2246A;LAZIO
IT2265A;LAZIO
IT2264A;LAZIO
IT1614A;PUGLIA
IT1611A;PUGLIA
IT1609A;PUGLIA
IT1613A;PUGLIA
IT1658A;PUGLIA
IT2139A;PUGLIA
IT2021A;PUGLIA
IT2148A;PUGLIA
IT0614A;SICILIA
IT1890A;SICILIA
IT1346A;SICILIA
IT0618A;SICILIA
IT1899A;SICILIA
IT0620A;SICILIA
IT1889A;SICILIA
IT1888A;SICILIA
IT0611A;SICILIA
IT1799A;MOLISE
IT1753A;MOLISE
IT1497A;CAMPANIA
IT1496A;CAMPANIA
IT1495A;CAMPANIA
IT1041A;CAMPANIA
IT1742A;BASILICATA
IT1193A;BASILICATA
IT2205A;BASILICATA
IT1397A;SARDEGNA
IT1993A;SARDEGNA
IT2049A;SARDEGNA
IT1269A;SARDEGNA
IT2008A;SARDEGNA
IT1243A;SARDEGNA
IT2011A;SARDEGNA
IT2005A;SARDEGNA
IT2010A;SARDEGNA
IT1576A;SARDEGNA
IT2009A;SARDEGNA
IT1996A;SARDEGNA
IT2056A;SARDEGNA
IT1309A;SARDEGNA
IT2040A;SARDEGNA
IT1575A;SARDEGNA
IT1347A;SARDEGNA
IT1407A;SARDEGNA
IT1273A;SARDEGNA
IT1277A;SARDEGNA
